store_id,name,displayName,postalCode,address,city,state,country,streetAddress,relevance,x,y
4333,Walmart Supercenter,Supercenter,36532,10040 County Road 48,Fairhope,AL,US,10040 County Road 48,1,-87.848919,30.521689
4334,Walmart Supercenter,Supercenter,28787,25 Northridge Commons Pkwy,Weaverville,NC,US,25 Northridge Commons Pkwy,1,-82.579338,35.703471
4335,Walmart Supercenter,Supercenter,80831,11550 Meridian Market Vw,Falcon,CO,US,11550 Meridian Market Vw,1,-104.612161,38.939271
4336,Walmart Supercenter,Supercenter,85335,12900 W Thunderbird Rd,El Mirage,AZ,US,12900 W Thunderbird Rd,1,-112.337138,33.610369
4337,Walmart Supercenter,Supercenter,85349,1613 North Main Street,San Luis,AZ,US,1613 North Main Street,1,-114.783989,32.507367
4339,Neighborhood Market,Neighborhood Market,89081,5940 Losee Rd,North Las Vegas,NV,US,5940 Losee Rd,1,-115.115691,36.267694
4340,Walmart Supercenter,Supercenter,92345,13401 Main St,Hesperia,CA,US,13401 Main St,1,-117.37032,34.42469
4341,Walmart Supercenter,Supercenter,87901,2001 H.r. Ashbaugh Dr.,Truth Or Consequences,NM,US,2001 H.r. Ashbaugh Dr.,1,-107.249714,33.152616
4348,Walmart Supercenter,Supercenter,16635,200 Commerce Dr,Duncansville,PA,US,200 Commerce Dr,1,-78.432014,40.370252
4350,Walmart Supercenter,Supercenter,22482,200 Old Fairgrounds Way,Kilmarnock,VA,US,200 Old Fairgrounds Way,1,-76.385083,37.727108
4352,Walmart Supercenter,Supercenter,58104,3757 55th Ave S,Fargo,ND,US,3757 55th Ave S,1,-96.842214,46.801605
4354,Neighborhood Market,Neighborhood Market,34105,5010 Airport Pulling Rd N,Naples,FL,US,5010 Airport Pulling Rd N,1,-81.766668,26.207186
4355,Walmart Supercenter,Supercenter,85939,715 N. Main Street,Taylor,AZ,US,715 N. Main Street,0.754286,-110.085582,34.473666
4356,Walmart Supercenter,Supercenter,89113,7200 Arroyo Crossing Pkwy,Las Vegas,NV,US,7200 Arroyo Crossing Pkwy,0.8775,-115.248693,36.064429
4357,Neighborhood Market,Neighborhood Market,32526,6670 Mobile Highway,Pensacola,FL,US,6670 Mobile Highway,1,-87.308159,30.477489
4358,Walmart Supercenter,Supercenter,68124,1606 S 72nd St,Omaha,NE,US,1606 S 72nd St,1,-96.025536,41.244573
4359,Walmart Supercenter,Supercenter,99504,7405 Debarr Road,Anchorage,AK,US,7405 Debarr Road,1,-149.743348,61.209897
4365,Walmart Supercenter,Supercenter,32832,11930 Narcoossee Road,Orlando,FL,US,11930 Narcoossee Road,1,-81.247422,28.390024
4366,Neighborhood Market,Neighborhood Market,79912,951 N Resler Dr,El Paso,TX,US,951 N Resler Dr,1,-106.558946,31.861041
4367,Neighborhood Market,Neighborhood Market,75503,3302 Summerhill Road,Texarkana,TX,US,3302 Summerhill Road,1,-94.06464,33.44942
4368,Walmart Supercenter,Supercenter,34472,34 Bahia Ave,Ocala,FL,US,34 Bahia Ave,1,-82.023758,29.118092
4370,Walmart Supercenter,Supercenter,89408,1550 Newlands Dr E,Fernley,NV,US,1550 Newlands Dr E,1,-119.216786,39.610726
4371,Neighborhood Market,Neighborhood Market,75503,3520 Richmond Road,Texarkana,TX,US,3520 Richmond Road,1,-94.09545,33.46899
4372,Walmart Supercenter,Supercenter,26537,100 Walmart Dr,Kingwood,WV,US,100 Walmart Dr,1,-79.70393,39.481
4373,Neighborhood Market,Neighborhood Market,75503,200 Wake Village Road,Wake Village,TX,US,200 Wake Village Road,1,-94.10231,33.41995
4374,Walmart Supercenter,Supercenter,55355,2301 East Frontage Road,Litchfield,MN,US,2301 East Frontage Road,1,-94.504301,45.121086
4375,Neighborhood Market,Neighborhood Market,72762,4900 Jennifer Terrace,Springdale,AR,US,4900 Jennifer Terrace,1,-94.22784,36.20076
4376,Neighborhood Market,Neighborhood Market,72712,1400 N Walton Blvd,Bentonville,AR,US,1400 N Walton Blvd,1,-94.219347,36.389087
4377,Walmart Supercenter,Supercenter,81625,2000 W Victory Way,Craig,CO,US,2000 W Victory Way,1,-107.569505,40.511897
4378,Walmart Supercenter,Supercenter,23418,26036 Lankford Hwy,Onley,VA,US,26036 Lankford Hwy,0.753333,-75.724231,37.685803
4379,Walmart Supercenter,Supercenter,29210,1326 Bush River Rd,Columbia,SC,US,1326 Bush River Rd,1,-81.108314,34.028843
4380,Neighborhood Market,Neighborhood Market,33071,10635 W Atlantic Blvd,Coral Springs,FL,US,10635 W Atlantic Blvd,1,-80.26816,26.24298
4381,Walmart Supercenter,Supercenter,65616,1101 Branson Hills Pkwy,Branson,MO,US,1101 Branson Hills Pkwy,1,-93.22926,36.670541
4383,Walmart Supercenter,Supercenter,48126,5851 Mercury Dr,Dearborn,MI,US,5851 Mercury Dr,1,-83.20455,42.32834
4384,Walmart Supercenter,Supercenter,29466,3000 Proprietors Pl,Mount Pleasant,SC,US,3000 Proprietors Pl,1,-79.78812,32.86203
4387,Walmart Supercenter,Supercenter,01607,25 Tobias Boland Way,Worcester,MA,US,25 Tobias Boland Way,1,-71.791556,42.23337
4388,Neighborhood Market,Neighborhood Market,22980,1211 W Broad St Ste A,Waynesboro,VA,US,1211 W Broad St Ste A,1,-78.895218,38.072219
4389,Walmart Supercenter,Supercenter,03785,4901 Dartmouth College Hwy,Woodsville,NH,US,4901 Dartmouth College Hwy,1,-72.026824,44.141069
4390,Neighborhood Market,Neighborhood Market,73703,1018 N. Cleveland Street,Enid,OK,US,1018 N. Cleveland Street,1,-97.90813,36.406427
4392,Walmart Supercenter,Supercenter,92392,12234 Palmdale Road,Victorville,CA,US,12234 Palmdale Road,1,-117.396807,34.508836
4393,Walmart Supercenter,Supercenter,95660,4675 Watt Avenue,North Highlands,CA,US,4675 Watt Avenue,1,-121.386081,38.649932
4394,Walmart Supercenter,Supercenter,99224,1221 S Hayford Rd,Spokane,WA,US,1221 S Hayford Rd,1,-117.558867,47.645184
4395,Walmart Supercenter,Supercenter,83854,6405 W Pointe Parkway,Post Falls,ID,US,6405 W Pointe Parkway,1,-117.03086,47.704089
4399,Walmart Supercenter,Supercenter,46514,30830 Old Us 20,Elkhart,IN,US,30830 Old Us 20,0.754286,-86.058654,41.687058
4403,Walmart Supercenter,Supercenter,12804,24 Quaker Ridge Blvd,Queensbury,NY,US,24 Quaker Ridge Blvd,1,-73.612331,43.319793
4404,Walmart Supercenter,Supercenter,17319,50 Newberry Pkwy,Etters,PA,US,50 Newberry Pkwy,1,-76.813297,40.149631
4405,Walmart Supercenter,Supercenter,60502,2900 Kirk Rd,Aurora,IL,US,2900 Kirk Rd,1,-88.283323,41.815982
4407,Walmart Supercenter,Supercenter,36117,10710 Chantilly Pkwy,Montgomery,AL,US,10710 Chantilly Pkwy,1,-86.134763,32.355188
4409,Walmart Supercenter,Supercenter,30153,1801 Nathan Dean Byp,Rockmart,GA,US,1801 Nathan Dean Byp,1,-85.030013,34.012362
4410,Walmart Supercenter,Supercenter,28630,4780 Hickory Blvd,Granite Falls,NC,US,4780 Hickory Blvd,1,-81.39433,35.780945
4412,Walmart Supercenter,Supercenter,59044,101 Bernhardt Rd,Laurel,MT,US,101 Bernhardt Rd,1,-108.759124,45.667039
4413,Neighborhood Market,Neighborhood Market,40515,4230 Saron Dr,Lexington,KY,US,4230 Saron Dr,1,-84.501033,37.966856
4414,Walmart Supercenter,Supercenter,37166,515 W Broad St,Smithville,TN,US,515 W Broad St,1,-85.829242,35.956065
4415,Neighborhood Market,Neighborhood Market,79907,8115 North Loop Dr,El Paso,TX,US,8115 North Loop Dr,1,-106.344852,31.728376
4416,Walmart Supercenter,Supercenter,77086,13003 Tomball Pkwy,Houston,TX,US,13003 Tomball Pkwy,1,-95.487178,29.915011
4417,Walmart Supercenter,Supercenter,46113,8191 Upland Bnd,Camby,IN,US,8191 Upland Bnd,0.760333,-86.328124,39.64213
4420,Walmart Supercenter,Supercenter,29070,115 E Church St,Leesville,SC,US,115 E Church St,1,-81.528827,33.916998
4421,Neighborhood Market,Neighborhood Market,31909,7400 Blackmon Rd,Columbus,GA,US,7400 Blackmon Rd,1,-84.896252,32.551979
4423,Walmart Supercenter,Supercenter,25404,5680 Hammonds Mill Rd,Martinsburg,WV,US,5680 Hammonds Mill Rd,1,-77.910112,39.542965
4424,Walmart Supercenter,Supercenter,48093,29176 Van Dyke Avenue,Warren,MI,US,29176 Van Dyke Avenue,1,-83.026554,42.508113
4425,Neighborhood Market,Neighborhood Market,32818,7818 Colonial West Drive,Orlando,FL,US,7818 Colonial West Drive,1,-81.49081,28.55009
4426,Neighborhood Market,Neighborhood Market,31904,1042 Manchester Expy,Columbus,GA,US,1042 Manchester Expy,1,-84.977925,32.506538
4427,Walmart Supercenter,Supercenter,32303,3221 N Monroe St,Tallahassee,FL,US,3221 N Monroe St,1,-84.318101,30.488488
4428,Walmart Supercenter,Supercenter,28803,1636 Hendersonville Rd,Asheville,NC,US,1636 Hendersonville Rd,1,-82.524707,35.512398
4430,Walmart Supercenter,Supercenter,85138,41650 W Maricopa Casa Grande Hwy,Maricopa,AZ,US,41650 W Maricopa Casa Grande Hwy,1,-112.014784,33.03925
4431,Neighborhood Market,Neighborhood Market,28115,966 East Iredell,Mooresville,NC,US,966 East Iredell,0.948,-80.791562,35.577935
4432,Neighborhood Market,Neighborhood Market,28658,1818 Northwest Blvd.,Newton,NC,US,1818 Northwest Blvd.,1,-81.230745,35.680691
4434,Neighborhood Market,Neighborhood Market,34476,7855 Sw Hwy 200,Ocala,FL,US,7855 Sw Hwy 200,0.877143,-82.251132,29.088667
4435,Walmart Supercenter,Supercenter,37207,3458 Dickerson Pike,Nashville,TN,US,3458 Dickerson Pike,1,-86.762264,36.244525
4436,Walmart Supercenter,Supercenter,30004,5455 Atlanta Hwy,Alpharetta,GA,US,5455 Atlanta Hwy,1,-84.249404,34.150277
4438,Walmart Supercenter,Supercenter,84045,136 W State Road 73,Saratoga Springs,UT,US,136 W State Road 73,0.606111,-111.812671,40.379796
4439,Walmart Supercenter,Supercenter,49079,1013 South Kalamazoo Street,Paw Paw,MI,US,1013 South Kalamazoo Street,1,-85.8861,42.20256
4440,Walmart Supercenter,Supercenter,29063,1180 Dutch Fork Rd,Irmo,SC,US,1180 Dutch Fork Rd,1,-81.223665,34.126737
4441,Neighborhood Market,Neighborhood Market,33406,4400 Forest Hill Blvd.,Palm Springs Village,FL,US,4400 Forest Hill Blvd.,0.804444,-80.110531,26.650198
4443,Neighborhood Market,Neighborhood Market,29621,2003 E Greenville St,Anderson,SC,US,2003 E Greenville St,1,-82.632796,34.545194
4444,Walmart Supercenter,Supercenter,32258,10251 Shops Ln,Jacksonville,FL,US,10251 Shops Ln,1,-81.556528,30.178878
4445,Neighborhood Market,Neighborhood Market,29631,680 Old Greenville Hwy,Clemson,SC,US,680 Old Greenville Hwy,1,-82.80101,34.696851
4446,Walmart Supercenter,Supercenter,33407,4225 45th St,West Palm Beach,FL,US,4225 45th St,1,-80.10317,26.762267
4450,Walmart Supercenter,Supercenter,40243,12981 Shelbyville Rd,Middletown,KY,US,12981 Shelbyville Rd,0.876667,-85.513092,38.246919
4451,Walmart Supercenter,Supercenter,85142,21055 E Rittenhouse Rd,Queen Creek,AZ,US,21055 E Rittenhouse Rd,1,-111.629998,33.251037
4452,Neighborhood Market,Neighborhood Market,29617,5009 Old Buncombe Road,Greenville,SC,US,5009 Old Buncombe Road,1,-82.431125,34.911782
4453,Neighborhood Market,Neighborhood Market,75401,4715 Wesley Street,Greenville,TX,US,4715 Wesley Street,1,-96.108307,33.123318
4456,Walmart Supercenter,Supercenter,08083,1 Coopertown Blvd,Somerdale,NJ,US,1 Coopertown Blvd,1,-75.02171,39.85146
4457,Walmart Supercenter,Supercenter,29512,"1250 Bennettsville Square, Hwy 9 West",Bennettsville,SC,US,"1250 Bennettsville Square, Hwy 9 West",1,-79.67471,34.70684
4460,Walmart Supercenter,Supercenter,72113,12001 Maumelle Blvd,North Little Rock,AR,US,12001 Maumelle Blvd,0.8725,-92.394852,34.832174
4461,Walmart Supercenter,Supercenter,41230,275 Walton Dr,Louisa,KY,US,275 Walton Dr,1,-82.66401,38.07972
4516,Neighborhood Market,Neighborhood Market,72701,660 W Martin Luther King Blvd,Fayetteville,AR,US,660 W Martin Luther King Blvd,1,-94.168521,36.057503
4517,Neighborhood Market,Neighborhood Market,31701,2586 N Slappey Blvd,Albany,GA,US,2586 N Slappey Blvd,1,-84.174306,31.61296
4519,Neighborhood Market,Neighborhood Market,31313,801-a East General Stewart Way,Hinesville,GA,US,801-a East General Stewart Way,1,-81.59112,31.8542
4520,Walmart Supercenter,Supercenter,32317,4021 Lagniappe Way,Tallahassee,FL,US,4021 Lagniappe Way,1,-84.21791,30.461817
4521,Walmart Supercenter,Supercenter,29073,1780 S Lake Dr,Lexington,SC,US,1780 S Lake Dr,1,-81.229596,33.910916
4524,Neighborhood Market,Neighborhood Market,40216,5360 Dixie Hwy,Louisville,KY,US,5360 Dixie Hwy,1,-85.836047,38.157291
4525,Neighborhood Market,Neighborhood Market,31313,1422 W Oglethorpe Hwy Ste A,Hinesville,GA,US,1422 W Oglethorpe Hwy Ste A,1,-81.606314,31.796299
4533,Walmart Supercenter,Supercenter,38060,105 Chickasaw Ridge Dr,Oakland,TN,US,105 Chickasaw Ridge Dr,1,-89.52244,35.22651
4538,Walmart Supercenter,Supercenter,77449,6060 N Fry Rd,Katy,TX,US,6060 N Fry Rd,1,-95.717024,29.859368
4540,Walmart Supercenter,Supercenter,48836,970 Gehringer Dr,Fowlerville,MI,US,970 Gehringer Dr,1,-84.078492,42.647867
4543,Walmart Supercenter,Supercenter,85344,100 W Riverside Dr,Parker,AZ,US,100 W Riverside Dr,1,-114.173504,34.243825
4545,Neighborhood Market,Neighborhood Market,27893,2700 Ward Blvd,Wilson,NC,US,2700 Ward Blvd,1,-77.929331,35.753462
4546,Neighborhood Market,Neighborhood Market,32960,1750 Us Highway 1,Vero Beach,FL,US,1750 Us Highway 1,1,-80.388106,27.633334
4553,Walmart Supercenter,Supercenter,64133,11601 E Us Highway 40,Kansas City,MO,US,11601 E Us Highway 40,1,-94.443184,39.045196
4554,Walmart Supercenter,Supercenter,78757,2525 W Anderson Ln,Austin,TX,US,2525 W Anderson Ln,1,-97.733544,30.355478
4556,Walmart Supercenter,Supercenter,31419,14030 Abercorn St,Savannah,GA,US,14030 Abercorn St,1,-81.173532,31.980862
4557,Walmart Supercenter,Supercenter,89121,3075 E Tropicana Ave,Las Vegas,NV,US,3075 E Tropicana Ave,1,-115.1083,36.09989
4558,Walmart Supercenter,Supercenter,30016,4200 Salem Rd,Covington,GA,US,4200 Salem Rd,1,-83.959697,33.576641
4560,Neighborhood Market,Neighborhood Market,33411,6901 Okeechobee Blvd,West Palm Beach,FL,US,6901 Okeechobee Blvd,1,-80.151058,26.710579
4561,Neighborhood Market,Neighborhood Market,32256,9550 Baymeadows Rd Suite #18,Jacksonville,FL,US,9550 Baymeadows Rd Suite #18,1,-81.559725,30.219896
4563,Neighborhood Market,Neighborhood Market,33004,401 E Sheridan St,Dania Beach,FL,US,401 E Sheridan St,0.995,-80.135759,26.034877
4564,Walmart Supercenter,Supercenter,27530,2908 Us Highway 70 W,Goldsboro,NC,US,2908 Us Highway 70 W,1,-78.0645,35.4296
4565,Neighborhood Market,Neighborhood Market,32163,270 Heald Way,The Villages,FL,US,270 Heald Way,0.751429,-81.955453,28.862823
4567,Walmart Supercenter,Supercenter,80602,7101 E 128th Ave,Brighton,CO,US,7101 E 128th Ave,1,-104.905491,39.930444
4568,Walmart Supercenter,Supercenter,68008,1882 Holly St,Blair,NE,US,1882 Holly St,1,-96.141405,41.526067
4569,Walmart Supercenter,Supercenter,58318,912 11th St E,Bottineau,ND,US,912 11th St E,1,-100.432442,48.818567
4570,Walmart Supercenter,Supercenter,12458,7500 Route 209,Napanoch,NY,US,7500 Route 209,1,-74.371068,41.742359
4574,Walmart Supercenter,Supercenter,28027,5825 Thunder Rd,Concord,NC,US,5825 Thunder Rd,1,-80.724774,35.378653
4577,Neighborhood Market,Neighborhood Market,71270,321 W California,Ruston,LA,US,321 W California,0.948,-92.642823,32.522714
4579,Neighborhood Market,Neighborhood Market,72908,8600 Us Hwy 71 S,Fort Smith,AR,US,8600 Us Hwy 71 S,1,-94.39452,35.30353
4580,Neighborhood Market,Neighborhood Market,35216,1300 Montgomery Hwy,Vestavia Hills,AL,US,1300 Montgomery Hwy,1,-86.791749,33.428884
4581,Walmart Supercenter,Supercenter,36695,2500 Dawes Rd,Mobile,AL,US,2500 Dawes Rd,1,-88.246546,30.638992
4582,Neighborhood Market,Neighborhood Market,32566,7360 Navarre Parkway,Navarre,FL,US,7360 Navarre Parkway,1,-86.914739,30.402895
4583,Walmart Supercenter,Supercenter,29615,3925 Pelham Rd,Greenville,SC,US,3925 Pelham Rd,0.753333,-82.26377,34.86172
4585,Neighborhood Market,Neighborhood Market,74055,11551 N 129th East Ave,Owasso,OK,US,11551 N 129th East Ave,1,-95.83015,36.31154
4586,Neighborhood Market,Neighborhood Market,39532,1820-a Popps Ferry Rd,Biloxi,MS,US,1820-a Popps Ferry Rd,1,-88.94538,30.44849
4588,Walmart Supercenter,Supercenter,32808,3101 W Princeton St,Orlando,FL,US,3101 W Princeton St,0.804286,-81.417202,28.572417
4589,Neighborhood Market,Neighborhood Market,37042,216 Dover Road,Clarksville,TN,US,216 Dover Road,1,-87.396387,36.549763
4590,Walmart Supercenter,Supercenter,64082,3410 Sw Market St,Lees Summit,MO,US,3410 Sw Market St,1,-94.378169,38.85596
4591,Neighborhood Market,Neighborhood Market,37042,408 Tiny Town Road,Clarksville,TN,US,408 Tiny Town Road,1,-87.422852,36.634357
4593,Walmart Supercenter,Supercenter,29732,4875 Old York Rd,Rock Hill,SC,US,4875 Old York Rd,1,-81.089602,34.98022
4594,Walmart Supercenter,Supercenter,28021,2505 Lincolnton Hwy,Cherryville,NC,US,2505 Lincolnton Hwy,1,-81.340209,35.400038
4595,Neighborhood Market,Neighborhood Market,33322,1885 N Pine Island Rd,Plantation,FL,US,1885 N Pine Island Rd,1,-80.26861,26.14628
4597,Walmart Supercenter,Supercenter,14120,886 Niagara Falls Blvd,North Tonawanda,NY,US,886 Niagara Falls Blvd,1,-78.843633,43.055862
4599,Walmart Supercenter,Supercenter,80547,4500 Weitzel St,Timnath,CO,US,4500 Weitzel St,0.753333,-104.990187,40.52578
4600,Walmart Supercenter,Supercenter,68028,11350 Wickersham Blvd,Gretna,NE,US,11350 Wickersham Blvd,1,-96.165659,41.143541
4601,Walmart Supercenter,Supercenter,88011,3331 Rinconada Blvd,Las Cruces,NM,US,3331 Rinconada Blvd,1,-106.746721,32.3617
4603,Neighborhood Market,Neighborhood Market,85711,5500 E 22nd St,Tucson,AZ,US,5500 E 22nd St,1,-110.873946,32.205918
4605,Neighborhood Market,Neighborhood Market,75703,5976 Old Jacksonville Hwy,Tyler,TX,US,5976 Old Jacksonville Hwy,1,-95.3317,32.28215
4606,Walmart Supercenter,Supercenter,50213,2400 College Dr,Osceola,IA,US,2400 College Dr,1,-93.801302,41.024776
4607,Neighborhood Market,Neighborhood Market,40513,3735 Palomar Centre Dr,Lexington,KY,US,3735 Palomar Centre Dr,1,-84.570941,38.003894
4609,Walmart Supercenter,Supercenter,45251,10240 Colerain Ave,Cincinnati,OH,US,10240 Colerain Ave,1,-84.597881,39.260422
4611,Walmart Supercenter,Supercenter,66226,5701 Silverheel Street,Shawnee,KS,US,5701 Silverheel Street,1,-94.849967,39.0254
4612,Walmart Supercenter,Supercenter,19526,1800 Tilden Ridge,Hamburg,PA,US,1800 Tilden Ridge,1,-76.012039,40.563922
4615,Walmart Supercenter,Supercenter,74033,12200 S Waco Ave,Glenpool,OK,US,12200 S Waco Ave,1,-96.013943,35.984441
4616,Walmart Supercenter,Supercenter,30528,260 Donald E Thurmond Pkwy,Cleveland,GA,US,260 Donald E Thurmond Pkwy,0.76075,-83.759461,34.577637
4617,Neighborhood Market,Neighborhood Market,33062,1199 S Federal Hwy,Pompano Beach,FL,US,1199 S Federal Hwy,1,-80.10511,26.21816
4618,Neighborhood Market,Neighborhood Market,77573,2625 W Main Street,League City,TX,US,2625 W Main Street,1,-95.12467,29.50021
4619,Neighborhood Market,Neighborhood Market,38801,316 S Gloster Street,Tupelo,MS,US,316 S Gloster Street,1,-88.71515,34.26119
4623,Walmart Supercenter,Supercenter,23605,6111 Jefferson Ave,Newport News,VA,US,6111 Jefferson Ave,1,-76.448746,37.022632
4625,Neighborhood Market,Neighborhood Market,67846,2424 N Taylor Ave,Garden City,KS,US,2424 N Taylor Ave,1,-100.89193,37.98676
4626,Neighborhood Market,Neighborhood Market,66441,1723 Mcfarland Road,Junction City,KS,US,1723 Mcfarland Road,1,-96.859751,39.019195
4627,Walmart Supercenter,Supercenter,76201,2750 W University Dr,Denton,TX,US,2750 W University Dr,0.804286,-97.167881,33.232526
4631,Walmart Supercenter,Supercenter,46320,1100 5th Ave,Hammond,IN,US,1100 5th Ave,1,-87.5199,41.693032
